therm_data_temp;therm_data_rh;therm_data_co2;therm_data_date;therm_data_hour
19.9;39.3;0;2026-02-07;15:51:06
18.6;46.3;0;2026-02-07;16:06:06
17.4;53.4;0;2026-02-07;16:21:06
16.3;59.6;0;2026-02-07;16:36:06
15.1;64.4;0;2026-02-07;16:51:06
13.8;69.9;0;2026-02-07;17:06:06
12.9;73.4;0;2026-02-07;17:21:06
12.3;75.8;0;2026-02-07;17:36:06
11.7;77.6;0;2026-02-07;17:51:06
11.3;78.7;0;2026-02-07;18:06:06
10.9;79.5;0;2026-02-07;18:21:06
10.6;80.5;0;2026-02-07;18:36:06
10.3;81.2;0;2026-02-07;18:51:06
10;81.7;0;2026-02-07;19:06:06
9.8;82;0;2026-02-07;19:21:06
9.7;82.4;0;2026-02-07;19:36:06
9.5;82.6;0;2026-02-07;19:51:06
9.3;82.9;0;2026-02-07;20:06:06
9.1;83.1;0;2026-02-07;20:21:06
9;83.2;0;2026-02-07;20:36:06
9.1;83;0;2026-02-07;20:51:06
9.3;82.7;0;2026-02-07;21:06:06
9.1;83.2;0;2026-02-07;21:21:06
9.2;83;0;2026-02-07;21:36:06
9.2;82.9;0;2026-02-07;21:51:06
9.4;82.6;0;2026-02-07;22:06:06
9.5;82.1;0;2026-02-07;22:21:06
9.5;82.2;0;2026-02-07;22:36:06
9.5;82.1;0;2026-02-07;22:51:06
9.5;82.2;0;2026-02-07;23:06:06
9.5;82.7;0;2026-02-07;23:21:06
9.3;83.3;0;2026-02-07;23:36:06
9.1;84;0;2026-02-07;23:51:06
8.9;84.4;0;2026-02-08;00:06:06
8.9;84.6;0;2026-02-08;00:21:06
8.9;84.7;0;2026-02-08;00:36:06
8.8;84.7;0;2026-02-08;00:51:06
8.8;84.9;0;2026-02-08;01:06:06
8.7;85.2;0;2026-02-08;01:21:06
8.7;85.2;0;2026-02-08;01:36:06
8.7;85.2;0;2026-02-08;01:51:06
8.6;85.4;0;2026-02-08;02:06:06
8.5;85.7;0;2026-02-08;02:21:06
8.5;85.9;0;2026-02-08;02:36:06
8.4;86.3;0;2026-02-08;02:51:06
8.3;86.4;0;2026-02-08;03:06:06
8.3;86.6;0;2026-02-08;03:21:06
8.3;86.5;0;2026-02-08;03:36:06
8.3;86.5;0;2026-02-08;03:51:06
8.3;86.5;0;2026-02-08;04:06:06
8.3;86.5;0;2026-02-08;04:21:06
8.3;86.6;0;2026-02-08;04:36:06
8.3;86.7;0;2026-02-08;04:51:06
8.3;86.8;0;2026-02-08;05:06:06
8.3;86.8;0;2026-02-08;05:21:06
8.3;86.9;0;2026-02-08;05:36:06
8.3;86.9;0;2026-02-08;05:51:06
8.2;87.1;0;2026-02-08;06:06:06
8.2;87.2;0;2026-02-08;06:21:06
8.1;87.7;0;2026-02-08;06:36:06
8;87.9;0;2026-02-08;06:51:06
